,PseudoTime1,PseudoTime2
E275_230,0.46076,NA
E1_227,0.45473,NA
E166_308,NA,0.61771
E516_159,0.31791,NA
E555_55,0.10865,NA
E442_435,NA,0.87324
E158_85,0.16901,NA
E422_241,0.4829,NA
E133_98,0.19517,NA
E464_192,NA,0.38431
E86_393,NA,0.78873
E597_66,0.13078,NA
E515_476,NA,0.95573
E403_309,0.61972,NA
E89_193,NA,0.38632
E219_193,NA,0.38632
E334_427,0.85714,NA
E431_152,NA,0.30382
E9_270,0.54125,NA
E369_133,0.26559,NA
E393_276,NA,0.55332
E162_375,0.75252,NA
E565_98,NA,0.19517
E48_228,NA,0.45674
E477_421,0.84507,NA
E562_455,0.91348,NA
E303_459,0.92153,NA
E39_268,0.53722,NA
E399_60,0.11871,NA
E7_409,0.82093,NA
E493_31,0.06036,NA
E340_292,0.58551,NA
E34_202,0.40443,NA
E499_330,0.66197,NA
E0_179,0.35815,NA
E414_497,0.99799,NA
E54_130,NA,0.25956
E256_482,0.96781,NA
E197_89,0.17706,NA
E472_487,0.97787,NA
E532_180,0.36016,NA
E287_157,0.31388,NA
E108_469,NA,0.94165
E139_456,0.91549,NA
E156_398,NA,0.79879
E392_77,0.15292,NA
E329_63,0.12475,NA
E467_309,0.61972,NA
E5_471,0.94567,NA
E424_147,0.29376,NA
E4_300,0.60161,NA
E315_77,0.15292,NA
E49_494,0.99195,NA
E84_221,0.44266,NA
E254_93,0.18511,NA
E171_148,NA,0.29577
E223_313,0.62777,NA
E324_395,NA,0.79276
E62_275,0.55131,NA
E508_283,0.5674,NA
E278_324,0.6499,NA
E151_91,0.18109,NA
E271_229,0.45875,NA
E420_220,0.44064,NA
E396_348,0.69819,NA
E59_283,NA,0.5674
E91_332,0.666,NA
E372_320,0.64185,NA
E316_213,0.42656,NA
E205_116,0.23139,NA
E537_343,0.68813,NA
E328_119,0.23742,NA
E37_401,0.80483,NA
E272_54,0.10664,NA
E577_362,0.72636,NA
E469_456,NA,0.91549
E599_39,0.07646,NA
E576_100,0.1992,NA
E42_390,0.7827,NA
E192_450,0.90342,NA
E591_82,0.16298,NA
E330_198,0.39638,NA
E531_259,NA,0.51911
E280_333,0.66801,NA
E276_265,0.53119,NA
E578_262,0.52515,NA
E509_151,NA,0.30181
E564_242,0.48491,NA
E299_156,NA,0.31187
E25_201,0.40241,NA
E67_189,0.37827,NA
E428_218,0.43662,NA
E174_259,0.51911,NA
E359_466,NA,0.93561
E68_452,0.90744,NA
E76_76,0.15091,NA
E458_147,0.29376,NA
E365_320,NA,0.64185
E26_470,NA,0.94366
E18_152,0.30382,NA
E79_75,NA,0.14889
E189_67,0.1328,NA
E429_124,0.24748,NA
E504_7,0.01207,NA
E446_298,0.59759,NA
E528_110,0.21932,NA
E66_170,NA,0.34004
E293_205,NA,0.41046
E432_251,0.50302,NA
E238_491,0.98592,NA
E326_374,0.7505,NA
E482_258,NA,0.5171
E563_434,0.87123,NA
E218_337,NA,0.67606
E300_58,NA,0.11469
E199_318,0.63783,NA
E182_184,NA,0.36821
E367_50,0.09859,NA
E136_210,0.42052,NA
E277_10,0.01811,NA
E38_135,NA,0.26962
E510_460,NA,0.92354
E588_34,NA,0.0664
E386_36,0.07042,NA
E546_358,0.71831,NA
E438_14,0.02616,NA
E402_48,NA,0.09457
E211_53,0.10463,NA
E284_393,0.78873,NA
E244_160,0.31992,NA
E552_302,0.60563,NA
E142_283,0.5674,NA
E305_288,0.57746,NA
E239_483,0.96982,NA
E19_398,NA,0.79879
E580_57,0.11268,NA
E120_190,0.38028,NA
E191_495,NA,0.99396
E159_394,0.79074,NA
E64_404,0.81087,NA
E474_76,0.15091,NA
E184_140,NA,0.27968
E337_177,0.35412,NA
E282_371,0.74447,NA
E455_310,0.62173,NA
E495_148,0.29577,NA
E175_198,0.39638,NA
E419_119,0.23742,NA
E225_307,0.61569,NA
E209_251,0.50302,NA
E273_281,0.56338,NA
E452_263,0.52716,NA
E210_169,0.33803,NA
E321_190,NA,0.38028
E398_191,0.38229,NA
E525_471,0.94567,NA
E77_336,0.67404,NA
E582_362,0.72636,NA
E52_415,0.833,NA
E109_261,0.52314,NA
E154_19,NA,0.03622
E521_183,0.3662,NA
E30_319,0.63984,NA
E235_10,0.01811,NA
E430_334,0.67002,NA
E57_155,NA,0.30986
E437_200,0.4004,NA
E412_182,0.36419,NA
E397_111,NA,0.22133
E373_362,NA,0.72636
E489_336,NA,0.67404
E536_328,0.65795,NA
E549_439,0.88129,NA
E173_478,0.95976,NA
E72_359,0.72032,NA
E395_481,0.96579,NA
E484_74,0.14688,NA
E231_459,0.92153,NA
E476_262,0.52515,NA
E106_305,NA,0.61167
E290_106,0.21127,NA
E143_32,NA,0.06237
E408_201,0.40241,NA
E554_472,0.94769,NA
E149_468,0.93964,NA
E569_416,0.83501,NA
E323_195,0.39034,NA
E78_162,0.32394,NA
E200_218,0.43662,NA
E502_469,0.94165,NA
E110_113,0.22535,NA
E473_40,0.07847,NA
E234_402,0.80684,NA
E501_337,0.67606,NA
E496_41,0.08048,NA
E331_53,0.10463,NA
E73_256,0.51308,NA
E463_135,0.26962,NA
E144_372,0.74648,NA
E146_330,0.66197,NA
E53_271,0.54326,NA
E338_475,0.95372,NA
E461_453,0.90946,NA
E415_356,0.71429,NA
E161_306,0.61368,NA
E107_155,0.30986,NA
E425_424,0.85111,NA
E530_55,0.10865,NA
E51_1,0.0,NA
E447_456,0.91549,NA
E237_401,0.80483,NA
E480_241,0.4829,NA
