,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4
E233_204,0.25126,NA,NA,NA
E584_457,0.57071,NA,NA,NA
E89_68,NA,NA,0.07955,NA
E588_66,NA,NA,0.07702,NA
E565_788,0.98864,NA,NA,NA
E231_336,NA,NA,NA,0.41793
E405_255,NA,0.31566,NA,NA
E18_790,NA,NA,0.99116,NA
E532_530,NA,NA,0.66288,NA
E498_350,NA,NA,NA,0.43561
E404_755,0.94697,NA,NA,NA
E491_394,0.49116,NA,NA,NA
E38_287,NA,0.35606,NA,NA
E462_646,0.80934,NA,NA,NA
E86_675,0.84596,NA,NA,NA
E284_602,NA,NA,0.75379,NA
E265_662,NA,NA,NA,0.82955
E243_459,NA,0.57323,NA,NA
E561_80,NA,NA,0.0947,NA
E507_547,NA,NA,NA,0.68434
E226_749,0.93939,NA,NA,NA
E164_789,NA,NA,NA,0.9899
E559_502,NA,0.62753,NA,NA
E23_563,0.70455,NA,NA,NA
E75_470,0.58712,NA,NA,NA
E166_205,NA,0.25253,NA,NA
E49_592,0.74116,NA,NA,NA
E516_701,0.87879,NA,NA,NA
E96_6,NA,NA,NA,0.00126
E165_176,0.21591,NA,NA,NA
E143_754,0.94571,NA,NA,NA
E53_450,0.56187,NA,NA,NA
E342_627,NA,NA,0.78535,NA
E41_407,NA,NA,0.50758,NA
E127_136,0.1654,NA,NA,NA
E571_638,NA,NA,0.79924,NA
E254_504,0.63005,NA,NA,NA
E441_776,0.97348,NA,NA,NA
E326_511,NA,NA,0.63889,NA
E59_703,0.88131,NA,NA,NA
E454_14,NA,NA,NA,0.01136
E107_723,0.90657,NA,NA,NA
E449_207,0.25505,NA,NA,NA
E251_797,1.0,NA,NA,NA
E329_261,NA,0.32323,NA,NA
E420_289,0.35859,NA,NA,NA
E167_272,0.33712,NA,NA,NA
E371_414,0.51641,NA,NA,NA
E413_509,0.63636,NA,NA,NA
E46_144,0.17551,NA,NA,NA
E525_320,0.39773,NA,NA,NA
E259_621,NA,NA,0.77778,NA
E502_113,0.13636,NA,NA,NA
E183_502,NA,0.62753,NA,NA
E415_795,NA,0.99747,NA,NA
E599_426,NA,NA,NA,0.53157
E248_151,NA,NA,NA,0.18434
E200_762,NA,0.95581,NA,NA
E538_581,NA,NA,NA,0.72727
E489_5,0.0,NA,NA,NA
E50_623,0.7803,NA,NA,NA
E253_715,NA,NA,0.89646,NA
E422_789,0.9899,NA,NA,NA
E220_576,0.72096,NA,NA,NA
E539_688,NA,NA,NA,0.86237
E74_192,NA,NA,0.23611,NA
E350_770,0.96591,NA,NA,NA
E412_605,NA,NA,0.75758,NA
E10_160,NA,NA,0.19571,NA
E445_714,NA,NA,0.8952,NA
E322_12,NA,0.00884,NA,NA
E389_75,0.08838,NA,NA,NA
E557_458,NA,0.57197,NA,NA
E154_651,0.81566,NA,NA,NA
E58_67,0.07828,NA,NA,NA
E309_14,0.01136,NA,NA,NA
E296_648,0.81187,NA,NA,NA
E550_628,0.78662,NA,NA,NA
E247_234,0.28914,NA,NA,NA
E176_666,NA,NA,NA,0.8346
E335_334,NA,NA,0.4154,NA
E104_211,NA,NA,0.2601,NA
E65_638,0.79924,NA,NA,NA
E92_118,0.14268,NA,NA,NA
E541_729,0.91414,NA,NA,NA
E146_34,0.03662,NA,NA,NA
E302_164,NA,NA,NA,0.20076
E161_192,0.23611,NA,NA,NA
E169_770,0.96591,NA,NA,NA
E387_567,NA,NA,NA,0.7096
E434_654,NA,NA,0.81944,NA
E37_668,NA,NA,0.83712,NA
E155_365,0.45455,NA,NA,NA
E93_773,NA,NA,0.9697,NA
E121_364,NA,0.45328,NA,NA
E250_572,0.71591,NA,NA,NA
E457_93,0.11111,NA,NA,NA
E14_684,0.85732,NA,NA,NA
E306_579,0.72475,NA,NA,NA
E300_326,0.4053,NA,NA,NA
E202_80,NA,0.0947,NA,NA
E278_70,0.08207,NA,NA,NA
E548_732,NA,NA,0.91793,NA
E273_331,NA,NA,0.41162,NA
E376_421,NA,0.52525,NA,NA
E29_648,NA,NA,0.81187,NA
E347_217,0.26768,NA,NA,NA
E580_324,NA,NA,NA,0.40278
E362_599,NA,NA,0.75,NA
E5_311,0.38636,NA,NA,NA
E519_128,0.1553,NA,NA,NA
E15_317,NA,NA,0.39394,NA
E368_234,NA,0.28914,NA,NA
E534_6,NA,NA,0.00126,NA
E417_62,NA,0.07197,NA,NA
E212_368,0.45833,NA,NA,NA
E319_449,NA,NA,NA,0.56061
E425_633,NA,NA,0.79293,NA
E503_263,0.32576,NA,NA,NA
E185_6,0.00126,NA,NA,NA
E24_276,NA,0.34217,NA,NA
E256_637,NA,NA,0.79798,NA
E315_176,0.21591,NA,NA,NA
E232_524,NA,NA,0.6553,NA
E112_583,0.7298,NA,NA,NA
E181_311,0.38636,NA,NA,NA
E515_138,NA,NA,0.16793,NA
E83_38,0.04167,NA,NA,NA
E529_524,NA,NA,0.6553,NA
E325_91,NA,NA,NA,0.10859
E570_454,0.56692,NA,NA,NA
E128_466,NA,NA,0.58207,NA
E468_74,NA,NA,0.08712,NA
E285_477,0.59596,NA,NA,NA
E540_91,0.10859,NA,NA,NA
E481_118,0.14268,NA,NA,NA
E249_740,0.92803,NA,NA,NA
E566_529,NA,NA,0.66162,NA
E174_792,0.99369,NA,NA,NA
E101_197,0.24242,NA,NA,NA
E576_297,NA,NA,0.36869,NA
E435_709,0.88889,NA,NA,NA
E485_151,0.18434,NA,NA,NA
E448_680,NA,NA,NA,0.85227
E60_453,NA,NA,0.56566,NA
E138_737,NA,NA,NA,0.92424
E316_674,0.8447,NA,NA,NA
E40_780,NA,NA,0.97854,NA
E533_726,0.91035,NA,NA,NA
E288_10,NA,NA,NA,0.00631
E585_322,NA,NA,0.40025,NA
E495_241,NA,0.29798,NA,NA
E473_81,0.09596,NA,NA,NA
E276_357,NA,NA,0.44444,NA
E114_635,NA,NA,0.79545,NA
E17_668,NA,NA,0.83712,NA
E343_179,NA,NA,NA,0.2197
E313_652,0.81692,NA,NA,NA
E82_328,NA,NA,NA,0.40783
E486_673,0.84343,NA,NA,NA
E72_63,NA,NA,NA,0.07323
E16_230,NA,NA,NA,0.28409
E442_182,NA,0.22348,NA,NA
E303_491,0.61364,NA,NA,NA
E123_225,0.27778,NA,NA,NA
E592_540,NA,NA,0.67551,NA
E193_343,0.42677,NA,NA,NA
E355_660,0.82702,NA,NA,NA
E505_363,0.45202,NA,NA,NA
E263_733,0.91919,NA,NA,NA
E597_648,0.81187,NA,NA,NA
E517_388,0.48359,NA,NA,NA
E581_470,0.58712,NA,NA,NA
E531_175,0.21465,NA,NA,NA
E6_170,NA,NA,0.20833,NA
E360_7,0.00253,NA,NA,NA
E318_784,NA,NA,0.98359,NA
E320_142,0.17298,NA,NA,NA
E477_183,0.22475,NA,NA,NA
E472_397,NA,NA,0.49495,NA
E446_382,0.47601,NA,NA,NA
E331_217,NA,NA,0.26768,NA
E196_635,NA,NA,NA,0.79545
E258_567,NA,NA,0.7096,NA
E57_322,0.40025,NA,NA,NA
E130_443,NA,NA,0.55303,NA
E211_675,0.84596,NA,NA,NA
E426_66,NA,NA,NA,0.07702
E108_402,NA,NA,0.50126,NA
E490_124,NA,0.15025,NA,NA
E400_341,0.42424,NA,NA,NA
E423_320,0.39773,NA,NA,NA
E339_690,NA,0.8649,NA,NA
E361_442,0.55177,NA,NA,NA
E66_363,NA,0.45202,NA,NA
E280_613,0.76768,NA,NA,NA
E32_460,0.57449,NA,NA,NA
E433_32,0.03409,NA,NA,NA
E149_785,NA,NA,NA,0.98485
E452_506,NA,NA,0.63258,NA
E403_456,0.56944,NA,NA,NA
E282_61,NA,NA,0.07071,NA
E241_587,0.73485,NA,NA,NA
E20_201,NA,NA,NA,0.24747
E544_492,0.6149,NA,NA,NA
E406_451,0.56313,NA,NA,NA
E375_497,0.62121,NA,NA,NA
E106_790,NA,0.99116,NA,NA
E536_702,NA,0.88005,NA,NA
E402_513,0.64141,NA,NA,NA
E274_644,0.80682,NA,NA,NA
E393_94,NA,NA,0.11237,NA
E2_335,NA,0.41667,NA,NA
E141_343,0.42677,NA,NA,NA
E245_115,NA,NA,0.13889,NA
E390_651,0.81566,NA,NA,NA
E363_504,0.63005,NA,NA,NA
E299_324,NA,NA,NA,0.40278
E13_480,NA,NA,NA,0.59975
E142_708,NA,NA,0.88763,NA
E239_272,0.33712,NA,NA,NA
E100_197,NA,0.24242,NA,NA
E267_290,NA,NA,NA,0.35985
E224_657,NA,NA,0.82323,NA
E378_241,0.29798,NA,NA,NA
E157_657,0.82323,NA,NA,NA
E356_52,NA,NA,0.05934,NA
E336_299,NA,NA,0.37121,NA
E215_37,NA,NA,0.0404,NA
E257_441,0.55051,NA,NA,NA
E465_620,0.77652,NA,NA,NA
E408_542,NA,NA,NA,0.67803
E439_586,0.73359,NA,NA,NA
E591_504,0.63005,NA,NA,NA
E305_767,NA,NA,NA,0.96212
E175_307,0.38131,NA,NA,NA
E178_388,0.48359,NA,NA,NA
E279_396,NA,NA,NA,0.49369
E562_330,NA,NA,0.41035,NA
E31_371,0.46212,NA,NA,NA
E564_557,0.69697,NA,NA,NA
E563_109,0.13131,NA,NA,NA
E194_178,NA,NA,0.21843,NA
E7_267,0.33081,NA,NA,NA
E593_167,0.20455,NA,NA,NA
E293_437,NA,NA,0.54545,NA
E227_679,0.85101,NA,NA,NA
E52_387,NA,NA,NA,0.48232
E394_284,NA,NA,0.35227,NA
E332_443,NA,NA,0.55303,NA
E549_263,0.32576,NA,NA,NA
E1_263,NA,NA,NA,0.32576
E76_44,NA,NA,0.04924,NA
E190_354,NA,NA,0.44066,NA
E344_441,NA,NA,0.55051,NA
E455_317,0.39394,NA,NA,NA
E221_718,NA,0.90025,NA,NA
E102_406,0.50631,NA,NA,NA
E297_284,0.35227,NA,NA,NA
E192_432,NA,0.53914,NA,NA
E512_409,0.5101,NA,NA,NA
E461_700,NA,NA,0.87753,NA
E55_656,NA,NA,0.82197,NA
E147_500,0.625,NA,NA,NA
E551_541,NA,NA,0.67677,NA
E475_599,NA,NA,0.75,NA
E217_489,0.61111,NA,NA,NA
E421_186,0.22854,NA,NA,NA
E182_239,0.29545,NA,NA,NA
E341_386,0.48106,NA,NA,NA
E506_637,NA,NA,0.79798,NA
E527_764,0.95833,NA,NA,NA
E312_487,0.60859,NA,NA,NA
E272_771,NA,NA,NA,0.96717
E87_576,NA,0.72096,NA,NA
E510_408,NA,NA,0.50884,NA
E275_352,NA,NA,0.43813,NA
E578_732,0.91793,NA,NA,NA
E494_120,NA,NA,0.1452,NA
E281_95,NA,NA,0.11364,NA
E428_743,0.93182,NA,NA,NA
E252_642,NA,NA,0.80429,NA
E153_755,0.94697,NA,NA,NA
E34_169,0.20707,NA,NA,NA
E575_460,NA,NA,0.57449,NA
E88_640,0.80177,NA,NA,NA
E464_551,NA,0.68939,NA,NA
E521_338,0.42045,NA,NA,NA
E572_739,0.92677,NA,NA,NA
E105_17,0.01515,NA,NA,NA
E396_675,0.84596,NA,NA,NA
E429_317,NA,NA,0.39394,NA
E163_128,0.1553,NA,NA,NA
E94_492,NA,0.6149,NA,NA
E173_654,NA,NA,0.81944,NA
E496_582,0.72854,NA,NA,NA
E513_620,NA,NA,NA,0.77652
E162_571,NA,NA,0.71465,NA
E144_92,0.10985,NA,NA,NA
E131_10,NA,0.00631,NA,NA
E116_418,NA,NA,NA,0.52146
E195_695,0.87121,NA,NA,NA
E543_307,0.38131,NA,NA,NA
E268_152,NA,NA,0.18561,NA
E264_313,0.38889,NA,NA,NA
E456_749,NA,NA,0.93939,NA
E33_388,0.48359,NA,NA,NA
E373_508,0.6351,NA,NA,NA
E219_54,0.06187,NA,NA,NA
E79_624,NA,0.78157,NA,NA
E340_150,NA,NA,0.18308,NA
E90_608,0.76136,NA,NA,NA
E346_107,NA,0.12879,NA,NA
E3_357,0.44444,NA,NA,NA
E345_708,NA,NA,0.88763,NA
E244_603,0.75505,NA,NA,NA
E414_552,0.69066,NA,NA,NA
E478_392,NA,0.48864,NA,NA
E324_417,0.5202,NA,NA,NA
E48_675,0.84596,NA,NA,NA
E511_365,0.45455,NA,NA,NA
E191_176,NA,NA,0.21591,NA
E47_633,NA,0.79293,NA,NA
E488_109,0.13131,NA,NA,NA
E269_633,NA,0.79293,NA,NA
E70_588,NA,NA,0.73611,NA
E42_49,0.05556,NA,NA,NA
E401_301,NA,NA,0.37374,NA
E535_720,NA,NA,0.90278,NA
E134_112,NA,NA,NA,0.1351
E582_105,NA,NA,0.12626,NA
E229_517,0.64646,NA,NA,NA
E460_300,0.37247,NA,NA,NA
E145_786,0.98611,NA,NA,NA
E466_567,0.7096,NA,NA,NA
E204_747,0.93687,NA,NA,NA
E307_386,NA,0.48106,NA,NA
E26_680,0.85227,NA,NA,NA
E587_599,NA,0.75,NA,NA
E148_26,NA,NA,0.02652,NA
E236_235,NA,NA,NA,0.2904
E358_478,0.59722,NA,NA,NA
E518_30,0.03157,NA,NA,NA
E349_359,NA,NA,NA,0.44697
E596_558,0.69823,NA,NA,NA
E311_696,NA,NA,0.87247,NA
E210_451,0.56313,NA,NA,NA
E298_12,0.00884,NA,NA,NA
E483_57,0.06566,NA,NA,NA
E482_603,NA,NA,NA,0.75505
E334_716,0.89773,NA,NA,NA
E289_177,0.21717,NA,NA,NA
E225_302,0.375,NA,NA,NA
E81_157,NA,0.19192,NA,NA
E379_379,NA,NA,NA,0.47222
E4_126,0.15278,NA,NA,NA
E54_377,0.4697,NA,NA,NA
E409_228,NA,NA,0.28157,NA
E27_730,NA,0.9154,NA,NA
E240_243,NA,NA,NA,0.30051
E188_516,NA,NA,0.6452,NA
E8_298,0.36995,NA,NA,NA
E451_251,NA,NA,0.31061,NA
E399_689,NA,NA,0.86364,NA
E367_29,NA,NA,0.0303,NA
E179_788,NA,NA,NA,0.98864
E39_584,NA,NA,0.73106,NA
E133_714,NA,NA,0.8952,NA
E218_704,0.88258,NA,NA,NA
E447_344,NA,NA,NA,0.42803
E586_684,NA,NA,0.85732,NA
E500_751,0.94192,NA,NA,NA
E437_367,0.45707,NA,NA,NA
E242_656,0.82197,NA,NA,NA
E323_197,0.24242,NA,NA,NA
E369_243,0.30051,NA,NA,NA
E459_310,NA,NA,0.3851,NA
E524_630,NA,NA,0.78914,NA
E291_610,NA,NA,0.76389,NA
E493_642,NA,0.80429,NA,NA
E45_586,NA,NA,0.73359,NA
E109_447,0.55808,NA,NA,NA
E73_131,0.15909,NA,NA,NA
E520_145,NA,0.17677,NA,NA
