,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4,PseudoTime5
E200_316,NA,NA,0.63508,NA,NA
E548_342,0.6875,NA,NA,NA,NA
E24_211,0.42339,NA,NA,NA,NA
E273_187,NA,0.375,NA,NA,NA
E510_191,NA,0.38306,NA,NA,NA
E307_428,NA,0.86089,NA,NA,NA
E302_105,0.20968,NA,NA,NA,NA
E367_434,NA,NA,0.87298,NA,NA
E357_287,0.57661,NA,NA,NA,NA
E21_385,0.77419,NA,NA,NA,NA
E272_59,NA,0.11694,NA,NA,NA
E212_395,NA,NA,0.79435,NA,NA
E550_240,NA,NA,0.48185,NA,NA
E224_424,NA,0.85282,NA,NA,NA
E129_280,0.5625,NA,NA,NA,NA
E322_145,NA,0.29032,NA,NA,NA
E269_123,NA,0.24597,NA,NA,NA
E485_406,NA,0.81653,NA,NA,NA
E497_348,0.6996,NA,NA,NA,NA
E351_94,NA,0.1875,NA,NA,NA
E36_174,NA,NA,0.34879,NA,NA
E91_74,0.14718,NA,NA,NA,NA
E458_383,NA,0.77016,NA,NA,NA
E364_64,NA,0.12702,NA,NA,NA
E232_318,NA,NA,0.63911,NA,NA
E153_363,0.72984,NA,NA,NA,NA
E211_15,NA,NA,0.02823,NA,NA
E461_57,0.1129,NA,NA,NA,NA
E481_27,NA,0.05242,NA,NA,NA
E205_46,0.09073,NA,NA,NA,NA
E549_406,0.81653,NA,NA,NA,NA
E43_326,NA,NA,0.65524,NA,NA
E569_115,0.22984,NA,NA,NA,NA
E267_182,NA,0.36492,NA,NA,NA
E100_184,NA,0.36895,NA,NA,NA
E33_231,0.46371,NA,NA,NA,NA
E479_212,NA,NA,NA,NA,0.4254
E16_170,0.34073,NA,NA,NA,NA
E422_18,0.03427,NA,NA,NA,NA
E52_354,NA,NA,0.71169,NA,NA
E423_113,NA,0.22581,NA,NA,NA
E574_294,NA,0.59073,NA,NA,NA
E434_272,0.54637,NA,NA,NA,NA
E161_214,0.42944,NA,NA,NA,NA
E37_423,NA,NA,NA,NA,0.85081
E49_308,NA,NA,0.61895,NA,NA
E213_226,NA,NA,0.45363,NA,NA
E486_367,NA,NA,0.7379,NA,NA
E547_13,NA,NA,0.02419,NA,NA
E516_486,NA,0.97782,NA,NA,NA
E393_106,NA,NA,0.21169,NA,NA
E517_104,0.20766,NA,NA,NA,NA
E386_80,NA,0.15927,NA,NA,NA
E281_214,0.42944,NA,NA,NA,NA
E44_476,NA,NA,NA,NA,0.95766
E149_146,NA,NA,0.29234,NA,NA
E378_108,NA,NA,NA,0.21573,NA
E248_415,NA,0.83468,NA,NA,NA
E290_292,NA,NA,0.58669,NA,NA
E528_171,NA,NA,NA,0.34274,NA
E498_202,0.40524,NA,NA,NA,NA
E348_399,NA,NA,0.80242,NA,NA
E14_301,NA,NA,NA,0.60484,NA
E95_254,NA,0.51008,NA,NA,NA
E297_123,0.24597,NA,NA,NA,NA
E564_259,NA,NA,0.52016,NA,NA
E136_57,0.1129,NA,NA,NA,NA
E240_233,NA,0.46774,NA,NA,NA
E361_70,NA,0.13911,NA,NA,NA
E543_214,NA,NA,0.42944,NA,NA
E320_272,NA,NA,0.54637,NA,NA
E408_86,NA,0.17137,NA,NA,NA
E282_356,0.71573,NA,NA,NA,NA
E586_223,NA,NA,0.44758,NA,NA
E352_452,0.90927,NA,NA,NA,NA
E265_106,0.21169,NA,NA,NA,NA
E401_214,NA,NA,0.42944,NA,NA
E478_100,NA,0.1996,NA,NA,NA
E125_42,NA,0.08266,NA,NA,NA
E19_159,0.31855,NA,NA,NA,NA
E254_439,0.88306,NA,NA,NA,NA
E85_495,NA,0.99597,NA,NA,NA
E160_270,0.54234,NA,NA,NA,NA
E529_324,NA,NA,NA,0.65121,NA
E193_280,NA,0.5625,NA,NA,NA
E73_326,NA,NA,0.65524,NA,NA
E332_489,0.98387,NA,NA,NA,NA
E451_492,NA,0.98992,NA,NA,NA
E12_327,NA,0.65726,NA,NA,NA
E175_33,NA,NA,NA,0.06452,NA
E583_297,NA,0.59677,NA,NA,NA
E6_383,NA,NA,NA,0.77016,NA
E363_367,NA,0.7379,NA,NA,NA
E553_5,NA,NA,0.00806,NA,NA
E533_207,NA,NA,NA,0.41532,NA
E98_266,0.53427,NA,NA,NA,NA
E371_290,NA,0.58266,NA,NA,NA
E150_301,NA,0.60484,NA,NA,NA
E331_158,NA,0.31653,NA,NA,NA
E545_9,0.01613,NA,NA,NA,NA
E148_44,NA,0.08669,NA,NA,NA
E141_154,NA,0.30847,NA,NA,NA
E582_423,NA,NA,0.85081,NA,NA
E355_482,NA,NA,0.96976,NA,NA
E106_138,NA,0.27621,NA,NA,NA
E431_492,0.98992,NA,NA,NA,NA
E329_212,0.4254,NA,NA,NA,NA
E406_490,NA,0.98589,NA,NA,NA
E296_170,NA,NA,0.34073,NA,NA
E572_216,NA,NA,0.43347,NA,NA
E279_481,NA,NA,NA,NA,0.96774
E587_49,0.09677,NA,NA,NA,NA
E412_224,NA,0.4496,NA,NA,NA
E496_274,NA,NA,0.5504,NA,NA
E8_78,NA,0.15524,NA,NA,NA
E246_374,0.75202,NA,NA,NA,NA
E187_469,NA,0.94355,NA,NA,NA
E10_246,NA,NA,0.49395,NA,NA
E227_112,0.22379,NA,NA,NA,NA
E500_56,NA,0.11089,NA,NA,NA
E231_114,NA,NA,0.22782,NA,NA
E450_367,NA,NA,NA,0.7379,NA
E313_11,0.02016,NA,NA,NA,NA
E207_338,NA,NA,0.67944,NA,NA
E518_402,0.80847,NA,NA,NA,NA
E237_349,NA,NA,0.70161,NA,NA
E524_24,NA,0.04637,NA,NA,NA
E509_259,NA,NA,0.52016,NA,NA
E441_213,NA,NA,NA,NA,0.42742
E164_124,0.24798,NA,NA,NA,NA
E562_16,0.03024,NA,NA,NA,NA
E593_201,NA,0.40323,NA,NA,NA
E117_150,NA,NA,0.3004,NA,NA
E460_119,0.2379,NA,NA,NA,NA
E262_320,0.64315,NA,NA,NA,NA
E494_144,NA,NA,0.28831,NA,NA
E69_178,0.35685,NA,NA,NA,NA
E220_372,0.74798,NA,NA,NA,NA
E228_370,NA,NA,0.74395,NA,NA
E59_100,0.1996,NA,NA,NA,NA
E39_317,NA,0.6371,NA,NA,NA
E300_221,NA,NA,0.44355,NA,NA
E17_180,0.36089,NA,NA,NA,NA
E140_21,0.04032,NA,NA,NA,NA
E258_181,0.3629,NA,NA,NA,NA
E368_233,NA,NA,0.46774,NA,NA
E531_258,NA,NA,0.51815,NA,NA
E410_50,0.09879,NA,NA,NA,NA
E35_284,NA,NA,0.57056,NA,NA
E58_12,0.02218,NA,NA,NA,NA
E337_328,NA,0.65927,NA,NA,NA
E230_347,0.69758,NA,NA,NA,NA
E191_481,NA,NA,0.96774,NA,NA
E79_151,NA,0.30242,NA,NA,NA
E584_220,NA,0.44153,NA,NA,NA
E597_138,NA,NA,0.27621,NA,NA
E124_228,NA,NA,NA,0.45766,NA
E46_67,0.13306,NA,NA,NA,NA
E358_486,NA,NA,0.97782,NA,NA
E31_373,NA,0.75,NA,NA,NA
E325_127,NA,NA,0.25403,NA,NA
E268_309,NA,NA,NA,0.62097,NA
E311_463,NA,NA,0.93145,NA,NA
E256_379,NA,NA,0.7621,NA,NA
E151_184,NA,NA,0.36895,NA,NA
E534_5,NA,0.00806,NA,NA,NA
E189_139,NA,0.27823,NA,NA,NA
E235_236,NA,0.47379,NA,NA,NA
E146_203,0.40726,NA,NA,NA,NA
E66_27,0.05242,NA,NA,NA,NA
E312_371,NA,NA,0.74597,NA,NA
E476_193,NA,0.3871,NA,NA,NA
E219_469,NA,0.94355,NA,NA,NA
E48_301,NA,NA,0.60484,NA,NA
E321_77,NA,NA,0.15323,NA,NA
E236_358,0.71976,NA,NA,NA,NA
E81_281,0.56452,NA,NA,NA,NA
E471_7,NA,0.0121,NA,NA,NA
E133_283,NA,NA,0.56855,NA,NA
E416_490,NA,NA,0.98589,NA,NA
E398_122,NA,0.24395,NA,NA,NA
E492_42,NA,NA,0.08266,NA,NA
E392_359,NA,0.72177,NA,NA,NA
E255_20,NA,0.03831,NA,NA,NA
E132_252,NA,0.50605,NA,NA,NA
E42_257,NA,NA,0.51613,NA,NA
E488_294,NA,NA,0.59073,NA,NA
E559_390,0.78427,NA,NA,NA,NA
E490_95,0.18952,NA,NA,NA,NA
E414_38,0.0746,NA,NA,NA,NA
E360_419,NA,NA,0.84274,NA,NA
E143_28,0.05444,NA,NA,NA,NA
E428_444,NA,0.89315,NA,NA,NA
E541_350,NA,0.70363,NA,NA,NA
E112_130,NA,0.26008,NA,NA,NA
E504_343,NA,NA,0.68952,NA,NA
E474_300,0.60282,NA,NA,NA,NA
E23_5,NA,NA,NA,NA,0.00806
E285_130,NA,NA,0.26008,NA,NA
E334_378,NA,0.76008,NA,NA,NA
E487_276,NA,0.55444,NA,NA,NA
E464_488,0.98185,NA,NA,NA,NA
E381_281,NA,NA,0.56452,NA,NA
E440_223,NA,NA,NA,0.44758,NA
E506_346,0.69556,NA,NA,NA,NA
E18_220,0.44153,NA,NA,NA,NA
E138_38,0.0746,NA,NA,NA,NA
E382_377,NA,NA,NA,0.75806,NA
E566_384,0.77218,NA,NA,NA,NA
E90_487,NA,0.97984,NA,NA,NA
E77_372,0.74798,NA,NA,NA,NA
E333_91,NA,0.18145,NA,NA,NA
E326_368,NA,NA,0.73992,NA,NA
E241_314,0.63105,NA,NA,NA,NA
E145_222,0.44556,NA,NA,NA,NA
E444_321,0.64516,NA,NA,NA,NA
E156_64,0.12702,NA,NA,NA,NA
E390_401,NA,0.80645,NA,NA,NA
E51_358,NA,0.71976,NA,NA,NA
E274_159,NA,0.31855,NA,NA,NA
E123_240,0.48185,NA,NA,NA,NA
E571_381,NA,NA,0.76613,NA,NA
E568_145,NA,0.29032,NA,NA,NA
E575_83,NA,0.16532,NA,NA,NA
E433_76,NA,NA,0.15121,NA,NA
E118_431,NA,NA,0.86694,NA,NA
E142_215,NA,NA,0.43145,NA,NA
E330_270,0.54234,NA,NA,NA,NA
E176_270,NA,NA,0.54234,NA,NA
E589_463,NA,NA,0.93145,NA,NA
E253_362,0.72782,NA,NA,NA,NA
E210_318,NA,0.63911,NA,NA,NA
E420_144,NA,NA,0.28831,NA,NA
E338_59,NA,0.11694,NA,NA,NA
E54_134,0.26815,NA,NA,NA,NA
E598_164,NA,NA,0.32863,NA,NA
E174_496,0.99798,NA,NA,NA,NA
E108_19,0.03629,NA,NA,NA,NA
E78_56,0.11089,NA,NA,NA,NA
E467_140,NA,0.28024,NA,NA,NA
E104_191,NA,0.38306,NA,NA,NA
E137_397,0.79839,NA,NA,NA,NA
E447_147,NA,NA,0.29435,NA,NA
E519_400,NA,NA,0.80444,NA,NA
E427_90,NA,NA,NA,NA,0.17944
E120_295,NA,NA,0.59274,NA,NA
E195_214,NA,0.42944,NA,NA,NA
E445_78,NA,0.15524,NA,NA,NA
E80_130,0.26008,NA,NA,NA,NA
E204_346,NA,NA,0.69556,NA,NA
E202_29,NA,0.05645,NA,NA,NA
E366_163,NA,0.32661,NA,NA,NA
E452_452,0.90927,NA,NA,NA,NA
E263_318,0.63911,NA,NA,NA,NA
E186_327,NA,NA,0.65726,NA,NA
E512_340,NA,0.68347,NA,NA,NA
E400_98,NA,0.19556,NA,NA,NA
E177_429,NA,NA,0.8629,NA,NA
E222_51,NA,NA,0.10081,NA,NA
E50_314,NA,NA,0.63105,NA,NA
E435_2,0.00202,NA,NA,NA,NA
E172_135,NA,0.27016,NA,NA,NA
E526_92,NA,NA,0.18347,NA,NA
E188_460,NA,NA,0.9254,NA,NA
E86_228,NA,NA,0.45766,NA,NA
E505_165,NA,0.33065,NA,NA,NA
E585_275,0.55242,NA,NA,NA,NA
E343_232,NA,0.46573,NA,NA,NA
E130_246,0.49395,NA,NA,NA,NA
E340_466,NA,NA,0.9375,NA,NA
E249_16,0.03024,NA,NA,NA,NA
E344_279,NA,0.56048,NA,NA,NA
E592_333,0.66935,NA,NA,NA,NA
E32_106,NA,NA,0.21169,NA,NA
