,PseudoTime1,PseudoTime2,PseudoTime3
E124_99,0.12296,NA,NA
E512_51,0.06274,NA,NA
E341_604,0.75659,NA,NA
E213_55,NA,0.06775,NA
E436_794,0.99498,NA,NA
E462_596,NA,0.74655,NA
E116_89,0.11041,NA,NA
E560_442,NA,NA,0.55332
E517_677,NA,0.84818,NA
E141_111,NA,NA,0.13802
E450_785,NA,NA,0.98369
E350_612,NA,0.76662,NA
E522_112,NA,NA,0.13927
E26_639,NA,0.8005,NA
E282_235,NA,0.2936,NA
E361_739,0.92597,NA,NA
E129_650,NA,0.8143,NA
E418_441,0.55207,NA,NA
E311_552,NA,0.69134,NA
E340_367,NA,0.45922,NA
E330_554,NA,0.69385,NA
E225_87,0.1079,NA,NA
E297_520,0.65119,NA,NA
E170_655,0.82058,NA,NA
E246_528,0.66123,NA,NA
E430_657,NA,NA,0.82309
E5_762,0.95483,NA,NA
E373_551,0.69009,NA,NA
E339_463,NA,0.57967,NA
E4_461,0.57716,NA,NA
E14_17,NA,NA,0.02008
E434_591,NA,0.74028,NA
E551_128,0.15935,NA,NA
E275_503,0.62986,NA,NA
E17_483,0.60477,NA,NA
E254_212,NA,0.26474,NA
E13_693,NA,0.86826,NA
E336_766,0.95985,NA,NA
E472_108,NA,NA,0.13425
E45_346,0.43287,NA,NA
E22_275,NA,NA,0.34379
E155_264,NA,0.32999,NA
E422_208,NA,0.25972,NA
E388_28,NA,0.03388,NA
E72_223,0.27854,NA,NA
E165_781,NA,NA,0.97867
E278_632,0.79172,NA,NA
E228_46,0.05646,NA,NA
E337_308,0.38519,NA,NA
E227_758,NA,0.94981,NA
E226_624,0.78168,NA,NA
E108_131,NA,0.16311,NA
E126_128,NA,0.15935,NA
E554_753,NA,0.94354,NA
E478_216,0.26976,NA,NA
E60_487,0.60979,NA,NA
E87_440,NA,0.55082,NA
E484_92,NA,0.11418,NA
E67_390,NA,NA,0.48808
E410_368,NA,0.46048,NA
E256_57,NA,NA,0.07026
E131_150,0.18695,NA,NA
E241_687,NA,NA,0.86073
E257_785,NA,0.98369,NA
E85_298,0.37265,NA,NA
E157_247,NA,NA,0.30866
E379_723,NA,0.9059,NA
E290_267,NA,0.33375,NA
E403_540,0.67629,NA,NA
E315_426,NA,0.53325,NA
E553_720,NA,0.90213,NA
E259_229,NA,0.28607,NA
E102_306,NA,0.38269,NA
E106_780,0.97742,NA,NA
E318_122,NA,0.15182,NA
E429_100,0.12422,NA,NA
E166_371,NA,0.46424,NA
E222_701,0.87829,NA,NA
E364_89,NA,0.11041,NA
E235_267,NA,0.33375,NA
E174_414,NA,0.51819,NA
E582_795,NA,NA,0.99624
E459_162,NA,NA,0.20201
E237_445,NA,0.55709,NA
E461_287,NA,NA,0.35885
E221_237,NA,NA,0.29611
E409_397,NA,NA,0.49686
E491_640,0.80176,NA,NA
E204_415,NA,0.51945,NA
E276_66,NA,NA,0.08156
E573_334,0.41782,NA,NA
E513_657,0.82309,NA,NA
E353_591,0.74028,NA,NA
E159_529,NA,0.66248,NA
E511_641,NA,0.80301,NA
E334_447,0.5596,NA,NA
E518_413,0.51694,NA,NA
E444_276,0.34504,NA,NA
E177_168,NA,0.20954,NA
E203_152,NA,NA,0.18946
E399_613,0.76788,NA,NA
E180_46,NA,0.05646,NA
E35_481,NA,0.60226,NA
E502_249,NA,NA,0.31117
E320_533,0.6675,NA,NA
E243_125,NA,0.15558,NA
E564_253,0.31619,NA,NA
E555_271,NA,0.33877,NA
E214_70,0.08657,NA,NA
E385_535,NA,0.67001,NA
E20_187,NA,0.23338,NA
E351_701,0.87829,NA,NA
E90_704,NA,NA,0.88206
E390_95,0.11794,NA,NA
E123_430,NA,NA,0.53827
E415_163,NA,NA,0.20326
E288_363,0.4542,NA,NA
E84_108,0.13425,NA,NA
E567_778,NA,0.97491,NA
E197_132,NA,NA,0.16437
E145_153,NA,NA,0.19072
E183_460,NA,NA,0.57591
E521_14,NA,NA,0.01631
E494_612,0.76662,NA,NA
E417_494,NA,0.61857,NA
E590_750,0.93977,NA,NA
E286_521,0.65245,NA,NA
E504_456,NA,0.57089,NA
E384_535,NA,NA,0.67001
E176_281,0.35132,NA,NA
E29_137,0.17064,NA,NA
E138_287,0.35885,NA,NA
E593_666,NA,0.83438,NA
E530_674,NA,0.84442,NA
E427_198,NA,NA,0.24718
E526_574,NA,0.71895,NA
E524_661,NA,0.82811,NA
E599_564,NA,0.7064,NA
E284_538,NA,NA,0.67378
E210_736,NA,NA,0.92221
E39_351,NA,0.43915,NA
E493_464,NA,0.58093,NA
E420_650,NA,0.8143,NA
E359_772,NA,0.96738,NA
E357_416,NA,NA,0.5207
E272_542,NA,0.6788,NA
E80_532,NA,0.66625,NA
E460_453,NA,0.56713,NA
E151_564,NA,NA,0.7064
E27_450,NA,0.56336,NA
E127_414,0.51819,NA,NA
E431_527,NA,NA,0.65997
E58_445,0.55709,NA,NA
E267_655,0.82058,NA,NA
E594_152,NA,0.18946,NA
E133_587,NA,0.73526,NA
E136_433,NA,0.54203,NA
E395_236,NA,0.29486,NA
E175_414,NA,0.51819,NA
E78_759,0.95107,NA,NA
E223_83,NA,NA,0.10289
E499_105,NA,NA,0.13049
E397_667,NA,0.83563,NA
E95_316,NA,NA,0.39523
E211_106,0.13174,NA,NA
E89_34,NA,0.04141,NA
E371_763,0.95609,NA,NA
E182_706,NA,NA,0.88457
E64_701,NA,NA,0.87829
E301_225,NA,0.28105,NA
E464_638,NA,0.79925,NA
E376_507,NA,0.63488,NA
E416_131,0.16311,NA,NA
E556_479,0.59975,NA,NA
E47_291,0.36386,NA,NA
E598_746,0.93476,NA,NA
E294_693,0.86826,NA,NA
E587_276,0.34504,NA,NA
E569_717,0.89837,NA,NA
E412_43,NA,0.0527,NA
E414_219,NA,NA,0.27353
E196_57,NA,0.07026,NA
E393_108,NA,NA,0.13425
E368_537,NA,NA,0.67252
E139_243,0.30364,NA,NA
E40_539,0.67503,NA,NA
E158_260,NA,NA,0.32497
E154_220,0.27478,NA,NA
E295_582,0.72898,NA,NA
E236_397,0.49686,NA,NA
E169_453,0.56713,NA,NA
E216_723,NA,0.9059,NA
E527_404,0.50565,NA,NA
E592_271,NA,NA,0.33877
E309_398,0.49812,NA,NA
E289_471,NA,NA,0.58971
E355_682,0.85445,NA,NA
E536_115,NA,0.14304,NA
E503_156,NA,NA,0.19448
E375_687,0.86073,NA,NA
E191_158,NA,NA,0.19699
E6_456,NA,NA,0.57089
E570_520,NA,0.65119,NA
E463_682,0.85445,NA,NA
E97_681,NA,0.8532,NA
E584_99,NA,0.12296,NA
E185_35,NA,0.04266,NA
E242_409,0.51192,NA,NA
E61_149,0.1857,NA,NA
E144_243,NA,0.30364,NA
E387_731,NA,0.91593,NA
E539_45,NA,NA,0.05521
E200_754,NA,0.94479,NA
E335_116,NA,NA,0.14429
E455_753,0.94354,NA,NA
E292_135,NA,NA,0.16813
E479_63,NA,0.07779,NA
E152_613,0.76788,NA,NA
E559_546,0.68381,NA,NA
E296_449,0.56211,NA,NA
E57_368,NA,NA,0.46048
E105_555,NA,0.69511,NA
E347_273,NA,NA,0.34128
E68_349,NA,0.43664,NA
E161_771,NA,NA,0.96612
E140_493,NA,NA,0.61731
E55_590,0.73902,NA,NA
E79_589,0.73777,NA,NA
E269_603,NA,0.75533,NA
E549_442,NA,0.55332,NA
E426_256,NA,0.31995,NA
E381_551,NA,NA,0.69009
E396_244,0.30489,NA,NA
E86_228,NA,NA,0.28482
E322_797,NA,0.99875,NA
E457_319,NA,0.399,NA
E550_587,0.73526,NA,NA
E313_355,NA,0.44417,NA
E168_426,0.53325,NA,NA
E489_513,NA,0.64241,NA
E421_447,0.5596,NA,NA
E285_64,0.07905,NA,NA
E597_357,NA,0.44668,NA
E153_666,NA,NA,0.83438
E389_651,NA,0.81556,NA
E298_64,NA,0.07905,NA
E425_752,NA,NA,0.94228
E261_67,NA,NA,0.08281
E287_345,0.43162,NA,NA
E402_203,0.25345,NA,NA
E535_105,NA,0.13049,NA
E562_457,0.57215,NA,NA
E220_740,NA,NA,0.92723
E148_691,NA,0.86575,NA
E525_667,0.83563,NA,NA
E293_217,NA,NA,0.27102
E329_448,0.56085,NA,NA
E331_507,0.63488,NA,NA
E506_46,NA,NA,0.05646
E206_9,NA,NA,0.01004
E65_453,NA,0.56713,NA
E101_376,NA,NA,0.47051
E1_393,NA,NA,0.49184
E99_119,NA,NA,0.14806
E423_616,0.77164,NA,NA
E515_35,NA,0.04266,NA
E411_408,NA,0.51066,NA
E162_112,0.13927,NA,NA
E11_329,NA,NA,0.41154
E255_744,0.93225,NA,NA
E94_495,NA,0.61982,NA
E208_705,NA,0.88331,NA
E326_152,0.18946,NA,NA
E581_573,NA,NA,0.71769
E31_75,NA,NA,0.09285
E98_549,0.68758,NA,NA
E187_571,NA,NA,0.71518
E413_382,NA,NA,0.47804
E477_423,0.52949,NA,NA
E291_166,NA,0.20703,NA
E28_477,NA,0.59724,NA
E104_520,NA,NA,0.65119
E205_530,0.66374,NA,NA
E500_706,NA,0.88457,NA
E24_340,0.42535,NA,NA
E179_381,0.47679,NA,NA
E538_514,NA,NA,0.64366
E281_743,NA,0.93099,NA
E356_528,NA,0.66123,NA
E533_338,NA,0.42284,NA
